Year,CAT001A,CAT002B,CAT006B,CAT013A,CAT015B,CAT018B,CAT019A,CMM001A,CMM002A,CMM003B,CMM004B,CMM006B,CMM009B,CMM010B,CMM014B,CMM015A,CMM021B,CMM022B,CMM023B,CMM024A,CMM025A,CMM026B,CMM028A,CMM029A,CMM029B,CMM031B,CMM041B,CMM042A,CMM042B,CMM053B,CMM056A,CMM059A,CMM059B,CMM067B,CMM068A,CMM072A,CMM086A,CMM086B,CMM110A,CMM112A,CMM117A,CMM118A,CMM121A,CMM133A,CMM134A
1648,,0.785142964,0.436173224,0.471363513,0.023888015,0.857502366,0.384336713,,,0.104746159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358866994,,0.885065585,0.5062559,,0.927511725,
1649,,0.796871788,0.528333696,0.658164093,0.641610164,0.814842828,0.805862243,,,0.965358597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927756246,,0.830132563,0.837831129,,0.980206505,
1650,,1.026135495,0.962454982,0.943237332,0.813416055,1.141961063,1.193596329,,,1.023856315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.368664659,,1.68701894,0.928642933,,1.655672155,1.02363789
1651,,1.290673495,1.419295505,1.360506019,1.617679319,0.914668661,1.164818434,,,1.488640803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041472996,,0.828575576,1.510788404,,0.825662441,0.895918162
1652,,1.204433439,1.041333266,1.330517599,1.452509853,1.261830687,1.307154185,,,1.311202445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.751786033,,0.91957057,1.199365904,,1.248858821,1.013276254
1653,0.913566083,0.81656047,0.508394183,0.777943799,0.721612852,0.766417543,0.717083616,,,0.803421443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.785987975,,0.738978885,0.920965485,,0.610158856,0.88345558
1654,0.293121306,0.42295344,0.244650332,0.635964061,0.799502608,0.559692471,0.70929378,,,0.724324391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559692863,,0.711915831,0.825444727,,0.65734199,0.519812856
1655,0.671409899,0.694262666,0.651916442,1.127499827,1.332635714,0.951082366,0.997263016,,,1.406741962,,,,,,,,,,,,,,,,,,,1.035464913,,,,,,,,,,1.503961879,,0.671504129,1.150247022,,1.035341863,1.516973546
1656,0.796612586,0.888885252,0.557941727,0.888173823,1.24279828,1.131534594,1.042023648,,,1.145538268,,,,,,,,,,,,,,,,,,,1.085320141,,,,,,,,,,,,1.253074815,1.120031497,,0.804118537,1.52148194
1657,0.911852586,0.943632913,0.94153148,0.828324769,0.699948491,0.648588269,0.674145759,,,0.79189909,,,,,,,,,,,,,,,,,,,0.698602764,,,,,,,,,,,,0.677025391,0.887724763,,0.630668637,1.189808069
1658,1.119183251,0.982108784,0.764502597,1.018478938,0.78924843,0.852672491,0.810597597,,,0.739703823,,,,,,,,,,,,,,,,,,,0.834364631,,,,,,,,,,,,0.705830946,0.677043533,,0.485134566,1.121054551
1659,1.107326944,0.839914457,0.055531437,0.848105703,0.54290795,0.636494086,0.687641291,,,0.598856798,,,,,,,,,,,,,,,,,,,0.922576167,,,,,,,,,,,,0.642826951,0.718431609,,0.55744486,0.708373307
1660,1.112125132,1.1644555,1.421561343,1.1345523,1.3948224,1.225576191,1.184903266,,,1.334010849,,,,,,,,,,,,,,,,,,,0.579849856,,,,,,,,,,,,1.093862464,1.336227637,,1.12972441,1.453565678
