"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"670","HOW2106E",1839,2013,175,0.938,0.921,0.45,0.282,0.177,0.157,0.271,0.895
"671","HOW2106W",1857,2011,155,0.911,0.996,0.401,-0.532,0.214,0.19,0.246,0.824
"672","HOW1001N",1931,2013,83,1.075,1.019,0.554,0.659,0.198,0.182,0.286,0.859
"673","HOW1002E",1965,2013,49,1.147,1.13,0.635,0.339,0.279,0.25,0.312,0.81
"674","HOW1002W",1967,2012,46,1.077,0.79,0.784,0.95,0.19,0.144,0.38,0.945
"675","HOW1004N",1920,2001,82,0.888,0.918,0.43,-0.175,0.241,0.191,0.273,0.829
"676","HOW1004S",1920,2000,81,0.751,0.794,0.362,-0.24,0.243,0.211,0.271,0.793
"677","HOW1006A",1877,2013,137,0.988,0.786,0.738,0.621,0.23,0.201,0.417,0.911
"678","HOW1006B",1877,2013,137,0.837,0.506,0.794,1.179,0.257,0.194,0.496,0.947
"679","HOW1009N",1933,2013,81,1.242,1.316,0.527,0.072,0.175,0.18,0.242,0.821
