"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VUF0","VUF",1947,0,0,0,0,300,0,0
"VUF1","VUF",1947,0,0,0,0,343,0,0
"VLF0","VLF",1948,0,0,0,0,251,0,0
"VLF1","VLF",1948,0.733697945361898,0,9,0,278,0.0323741007194245,0
"VUF0","VUF",1948,0,0,0,0,311,0,0
"VUF1","VUF",1948,0,0,0,0,349,0,0
"VLF0","VLF",1949,0,0,0,0,278,0,0
"VLF1","VLF",1949,0.733697945361898,0,9,0,300,0.03,0
"VUF0","VUF",1949,0,0,0,0,320,0,0
"VUF1","VUF",1949,0,0,0,0,354,0,0
"VLF0","VLF",1950,0,0,0,0,302,0,0
"VLF1","VLF",1950,0.733697945361898,0,9,0,324,0.0277777777777778,0
"VUF0","VUF",1950,0,0,0,0,328,0,0
"VUF1","VUF",1950,0,0,0,0,357,0,0
"VLF0","VLF",1951,0,0,0,0,326,0,0
"VLF1","VLF",1951,0.733697945361898,0,9,0,348,0.0258620689655172,0
"VUF0","VUF",1951,0,0,0,0,336,0,0
"VUF1","VUF",1951,0,0,0,0,361,0,0
"VLF0","VLF",1952,0,0,0,0,346,0,0
"VLF1","VLF",1952,0.733697945361898,0,9,0,368,0.0244565217391304,0
"VUF0","VUF",1952,0,0,0,0,341,0,0
"VUF1","VUF",1952,0,0,0,0,365,0,0
"VLF0","VLF",1953,0,0,0,0,364,0,0
"VLF1","VLF",1953,0.733697945361898,0,9,0,385,0.0233766233766234,0
"VUF0","VUF",1953,0.146503911573395,0,2,0,347,0.00576368876080692,0
"VUF1","VUF",1953,0,0,0,0,369,0,0
"VLF0","VLF",1954,0,0,0,0,380,0,0
"VLF1","VLF",1954,0.733697945361898,0,9,0,401,0.0224438902743142,0
"VUF0","VUF",1954,0.312319759656855,0,4,0,353,0.0113314447592068,0
"VUF1","VUF",1954,0.140727272727273,0,1,0,373,0.00268096514745308,0
"VLF0","VLF",1955,0,0,0,0,395,0,0
"VLF1","VLF",1955,0.581170592288665,0,8,0,415,0.0192771084337349,0
"VUF0","VUF",1955,0.47004096390121,0.185785475833374,6,1,358,0.0167597765363128,0.00279329608938547
"VUF1","VUF",1955,0.286855889968355,0,4,0,378,0.0105820105820106,0
"VLF0","VLF",1956,0,0,0,0,406,0,0
"VLF1","VLF",1956,0.43240401495066,0,7,0,427,0.0163934426229508,0
"VUF0","VUF",1956,0.621200909394051,0.385307784510612,15,2,362,0.0414364640883978,0.00552486187845304
"VUF1","VUF",1956,0.442035039695241,0,10,0,382,0.0261780104712042,0
"VLF0","VLF",1957,0,0,0,0,413,0,0
"VLF1","VLF",1957,0.285821154917487,0,5,0,438,0.0114155251141553,0
"VUF0","VUF",1957,0.776976975278693,0.584298207683703,25,3,364,0.0686813186813187,0.00824175824175824
"VUF1","VUF",1957,0.590656350764936,0.190932298589485,15,2,386,0.038860103626943,0.00518134715025907
"VLF0","VLF",1958,0,0,0,0,421,0,0
"VLF1","VLF",1958,0.138510373543159,0,2,0,446,0.00448430493273543,0
"VUF0","VUF",1958,0.933126693011802,0.768885790225928,35,7,366,0.0956284153005464,0.0191256830601093
"VUF1","VUF",1958,0.745224397797738,0.406651672177385,24,4,390,0.0615384615384615,0.0102564102564103
"VLF0","VLF",1959,0,0,0,0,427,0,0
"VLF1","VLF",1959,0,0,0,0,454,0,0
"VUF0","VUF",1959,1.09320405778775,0.970040941429989,48,11,368,0.130434782608696,0.0298913043478261
"VUF1","VUF",1959,0.896829754621049,0.615352900188897,37,9,394,0.0939086294416244,0.0228426395939086
"VLF0","VLF",1960,0,0,0,0,432,0,0
"VLF1","VLF",1960,0,0,0,0,462,0,0
"VUF0","VUF",1960,1.25297703051681,1.17192205676368,60,15,371,0.161725067385445,0.0404312668463612
"VUF1","VUF",1960,1.04939535449211,0.818021784637122,50,16,398,0.125628140703518,0.0402010050251256
"VLF0","VLF",1961,0,0,0,0,437,0,0
"VLF1","VLF",1961,0,0,0,0,468,0,0
"VUF0","VUF",1961,1.40736988196856,1.36956816593644,74,18,374,0.197860962566845,0.0481283422459893
"VUF1","VUF",1961,1.2056792783029,1.02988206967836,65,22,402,0.161691542288557,0.054726368159204
"VLF0","VLF",1962,0,0,0,0,440,0,0
"VLF1","VLF",1962,0,0,0,0,473,0,0
"VUF0","VUF",1962,1.56080058078461,1.56009367123457,87,20,376,0.231382978723404,0.0531914893617021
"VUF1","VUF",1962,1.36058228984209,1.23542731954467,79,31,405,0.195061728395062,0.0765432098765432
"VLF0","VLF",1963,0,0,0,0,443,0,0
"VLF1","VLF",1963,0,0,0,0,478,0,0
"VUF0","VUF",1963,1.71306550918668,1.56009367123457,100,20,378,0.264550264550265,0.0529100529100529
"VUF1","VUF",1963,1.5165307861532,1.44411930503895,94,39,407,0.230958230958231,0.0958230958230958
