year,poct,pnov,pdec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cool.pdsi,warm.pdsi
1958,3.059369,3.65212,3.161972,2.846348,2.818907,3.324693,3.934988,1.47E-02,-0.1112325,-0.8080067,-0.7899662,-0.3680491,-0.2929524,-0.3648849,-0.6695998,3.256913857,-0.412513326
1959,-0.2929524,-0.3648849,-0.6695998,-1.014949,-1.401084,-2.207262,0.4888668,0.8071364,0.8311515,-1.18571,0.7663861,-0.9605564,1.667649,1.185327,1.349283,-0.780266471,0.05168152
1960,1.667649,1.185327,1.349283,1.437999,1.734656,1.700147,-0.1707687,-0.3301503,-5.76E-02,-0.2264885,-0.8088914,-1.306034,2.340981,1.893502,1.88536,1.272041757,-0.545825716
1961,2.340981,1.893502,1.88536,1.621531,1.49828,1.60842,2.54E-02,-0.440277,-0.4950063,-0.5466411,1.968917,2.156311,2.069028,1.884959,1.867785,1.55334996,0.52866072
1962,2.069028,1.884959,1.867785,1.704317,1.68494,1.551244,-0.3951189,-0.9123518,-1.346243,-0.813139,-2.758021,1.176669,0.6594889,0.9478565,0.2930112,1.481022014,-0.93061716
1963,0.6594889,0.9478565,0.2930112,0.119488,0.4888988,-0.4588794,-1.704649,-2.701086,-2.869442,-3.802726,-1.520756,-0.9664708,-1.214734,-1.392058,-2.179448,0.049316429,-2.37209616
1964,-1.214734,-1.392058,-2.179448,-2.896709,-1.956232,-2.085936,-1.485332,-1.804077,-2.534329,-2.264057,-2.031113,-0.9236475,-2.149133,0.1297343,0.6765974,-1.887207,-1.9114447
1965,-2.149133,0.1297343,0.6765974,1.395438,1.494686,1.554085,1.672191,1.743575,2.439833,2.556808,2.221435,2.408175,2.133265,1.943622,2.384485,0.681942671,2.2739652
1966,2.133265,1.943622,2.384485,2.077816,1.942266,1.52648,1.195099,0.7368893,1.399429,1.172773,1.490818,-0.2317768,-0.5305711,-0.7498121,1.010105,1.886147571,0.9136265
1967,-0.5305711,-0.7498121,1.010105,-0.8659575,-1.021984,-1.811173,-2.81741,-3.117251,1.169429,2.146658,2.742078,2.522361,1.827047,1.266251,1.548619,-0.969543243,1.092655
1968,1.827047,1.266251,1.548619,1.276747,1.413567,1.501162,1.407567,1.219376,0.6457558,1.211699,1.433346,-0.5033066,-0.8139944,-0.7200658,-0.8525274,1.462994286,0.80137404
1969,-0.8139944,-0.7200658,-0.8525274,0.6651361,0.8906538,1.332742,1.298774,1.399384,1.75787,1.819293,1.879412,2.08749,2.727532,-1.85E-02,5.11E-02,0.257245471,1.7886898
1970,2.727532,-1.85E-02,5.11E-02,-0.282109,-0.6698721,-0.4354398,-0.5849072,-0.8918909,0.4198415,0.8439014,0.2744019,1.43845,1.360955,-0.2074643,-0.4767432,0.112554303,0.41694078
1971,1.360955,-0.2074643,-0.4767432,-0.6681101,-0.888092,-1.973159,-1.874884,-2.009902,-2.813571,0.9667255,1.060063,2.287853,2.460463,2.294588,2.442878,-0.6753568,-0.1017663
1972,2.460463,2.294588,2.442878,-0.3237702,-0.7614147,-1.177216,-1.571898,-1.619084,-1.197885,-1.27202,0.3658346,1.253914,2.404013,2.659534,2.662076,0.480518586,-0.49384808
1973,2.404013,2.659534,2.662076,2.512755,2.388825,3.235095,3.602046,3.899717,3.887948,3.553627,-0.4120436,-0.3372651,-0.5895042,-0.9009907,-1.140627,2.780620571,2.11839666
1974,-0.5895042,-0.9009907,-1.140627,-0.4370189,-0.4128556,-0.3499944,-0.4535688,-0.882516,-1.421554,-0.7876442,-1.24934,-1.282749,2.18151,1.947157,1.791317,-0.612079943,-1.12476064
1975,2.18151,1.947157,1.791317,1.79813,2.201497,2.709487,3.154065,-0.1539562,-0.3760568,-0.1921663,-0.5146773,0.7477033,-0.4133246,-0.2334443,-0.379427,2.254737571,-0.09783066
1976,-0.4133246,-0.2334443,-0.379427,-0.6598879,-0.5162352,-0.6845721,-0.796647,-0.6959205,-1.23649,-1.136914,-1.254297,0.5252227,-0.8483124,-1.17786,-1.754065,-0.526219729,-0.75967976
1977,-0.8483124,-1.17786,-1.754065,-1.130928,-1.200342,-1.711219,0.7223673,-0.4257535,-0.8627107,0.5885719,1.180955,-8.75E-02,-0.3783547,-0.2020866,-0.5637047,-1.014337014,0.078721998
1978,-0.3783547,-0.2020866,-0.5637047,0.4174718,1.089029,1.403366,0.9049373,1.522708,1.696739,-0.620048,-0.9511686,-1.212618,-4.84E-02,3.113271,3.492732,0.381522586,0.08712248
1979,-4.84E-02,3.113271,3.492732,4,3.893909,4.108473,4.502918,5.720836,6.464511,5.709752,5.211927,4.370189,3.743453,3.574599,3.218108,3.294700294,5.495443
